unit_id,plate_no,vehicle_group,capacity_ton,year,pool,fuel_km_per_liter,status
VH00001,B1001BA,CDE,2.0,2019,Cikarang,9.8,Ready
VH00002,B1002CA,CDE,2.0,2020,Semarang,9.6,Ready
VH00003,B1003DA,CDE,2.0,2021,Malang,9.4,Ready
VH00004,B1004EA,CDE,2.0,2022,Cikarang,9.2,Ready
VH00005,B1005FA,CDE,2.0,2023,Semarang,10.0,Ready
VH00006,B1006GA,CDE,2.0,2024,Malang,9.8,Ready
VH00007,B1007HA,CDE,2.0,2018,Cikarang,9.6,Ready
VH00008,B1008IA,CDE,2.0,2019,Semarang,9.4,Ready
VH00009,B1009JA,CDE,2.0,2020,Malang,9.2,Ready
VH00010,B1010KA,CDE,2.0,2021,Cikarang,10.0,Ready
VH00011,B1011LA,CDE,2.0,2022,Semarang,9.8,Ready
VH00012,B1012MA,CDE,2.0,2023,Malang,9.6,Ready
VH00013,B1013NA,CDE,2.0,2024,Cikarang,9.4,Ready
VH00014,B1014OA,CDE,2.0,2018,Semarang,9.2,Ready
VH00015,B1015PA,CDE,2.0,2019,Malang,10.0,Ready
VH00016,B1016QA,CDE,2.0,2020,Cikarang,9.8,Ready
VH00017,B1017RA,CDE,2.0,2021,Semarang,9.6,Ready
VH00018,B1018SA,CDE,2.0,2022,Malang,9.4,Ready
VH00019,B1019TA,CDE,2.0,2023,Cikarang,9.2,Ready
VH00020,B1020UA,CDE,2.0,2024,Semarang,10.0,Ready
VH00021,B1021VA,CDE,2.0,2018,Malang,9.8,Ready
VH00022,B1022WA,CDE,2.0,2019,Cikarang,9.6,Ready
VH00023,B1023XA,CDE,2.0,2020,Semarang,9.4,Ready
VH00024,B1024YA,CDE,2.0,2021,Malang,9.2,Ready
VH00025,B1025ZA,CDE,2.0,2022,Cikarang,10.0,Ready
VH00026,B1026AB,CDE,2.0,2023,Semarang,9.8,Ready
VH00027,B1027BB,CDE,2.0,2024,Malang,9.6,Ready
VH00028,B1028CB,CDE,2.0,2018,Cikarang,9.4,Ready
VH00029,B1029DB,CDE,2.0,2019,Semarang,9.2,Ready
VH00030,B1030EB,CDE,2.0,2020,Malang,10.0,Ready
VH00031,B1031FB,CDE,2.0,2021,Cikarang,9.8,Ready
VH00032,B1032GB,CDE,2.0,2022,Semarang,9.6,Ready
VH00033,B1033HB,CDE,2.0,2023,Malang,9.4,Ready
VH00034,B1034IB,CDE,2.0,2024,Cikarang,9.2,Ready
VH00035,B1035JB,CDE,2.0,2018,Semarang,10.0,Ready
VH00036,B1036KB,CDE,2.0,2019,Malang,9.8,Ready
VH00037,B1037LB,CDE,2.0,2020,Cikarang,9.6,Ready
VH00038,B1038MB,CDE,2.0,2021,Semarang,9.4,Ready
VH00039,B1039NB,CDE,2.0,2022,Malang,9.2,Ready
VH00040,B1040OB,CDE,2.0,2023,Cikarang,10.0,Ready
VH00041,B1041PB,CDE,2.0,2024,Semarang,9.8,Ready
VH00042,B1042QB,CDE,2.0,2018,Malang,9.6,Ready
VH00043,B1043RB,CDE,2.0,2019,Cikarang,9.4,Ready
VH00044,B1044SB,CDE,2.0,2020,Semarang,9.2,Ready
VH00045,B1045TB,CDE,2.0,2021,Malang,10.0,Ready
VH00046,B1046UB,CDE,2.0,2022,Cikarang,9.8,Ready
VH00047,B1047VB,CDE,2.0,2023,Semarang,9.6,Ready
VH00048,B1048WB,CDE,2.0,2024,Malang,9.4,Ready
VH00049,B1049XB,CDE,2.0,2018,Cikarang,9.2,Ready
VH00050,B1050YB,CDE,2.0,2019,Semarang,10.0,Ready
VH00051,B1051ZB,CDE,2.0,2020,Malang,9.8,Ready
VH00052,B1052AC,CDE,2.0,2021,Cikarang,9.6,Ready
VH00053,B1053BC,CDE,2.0,2022,Semarang,9.4,Ready
VH00054,B1054CC,CDE,2.0,2023,Malang,9.2,Ready
VH00055,B1055DC,CDE,2.0,2024,Cikarang,10.0,Ready
VH00056,B1056EC,CDE,2.0,2018,Semarang,9.8,Ready
VH00057,B1057FC,CDE,2.0,2019,Malang,9.6,Ready
VH00058,B1058GC,CDE,2.0,2020,Cikarang,9.4,Ready
VH00059,B1059HC,CDE,2.0,2021,Semarang,9.2,Ready
VH00060,B1060IC,CDE,2.0,2022,Malang,10.0,Ready
VH00061,B1061JC,CDE,2.0,2023,Cikarang,9.8,Ready
VH00062,B1062KC,CDE,2.0,2024,Semarang,9.6,Ready
VH00063,B1063LC,CDE,2.0,2018,Malang,9.4,Ready
VH00064,B1064MC,CDE,2.0,2019,Cikarang,9.2,Ready
VH00065,B1065NC,CDE,2.0,2020,Semarang,10.0,Ready
VH00066,B1066OC,CDE,2.0,2021,Malang,9.8,Ready
VH00067,B1067PC,CDE,2.0,2022,Cikarang,9.6,Ready
VH00068,B1068QC,CDE,2.0,2023,Semarang,9.4,Ready
VH00069,B1069RC,CDE,2.0,2024,Malang,9.2,Ready
VH00070,B1070SC,CDE,2.0,2018,Cikarang,10.0,Ready
VH00071,B1071TC,CDE,2.0,2019,Semarang,9.8,Ready
VH00072,B1072UC,CDE,2.0,2020,Malang,9.6,Ready
VH00073,B1073VC,CDE,2.0,2021,Cikarang,9.4,Ready
VH00074,B1074WC,CDE,2.0,2022,Semarang,9.2,Ready
VH00075,B1075XC,CDE,2.0,2023,Malang,10.0,Ready
VH00076,B1076YC,CDE,2.0,2024,Cikarang,9.8,Ready
VH00077,B1077ZC,CDE,2.0,2018,Semarang,9.6,Ready
VH00078,B1078AD,CDE,2.0,2019,Malang,9.4,In Use
VH00079,B1079BD,CDE,2.0,2020,Cikarang,9.2,In Use
VH00080,B1080CD,CDE,2.0,2021,Semarang,10.0,In Use
VH00081,B1081DD,CDE,2.0,2022,Malang,9.8,In Use
VH00082,B1082ED,CDE,2.0,2023,Cikarang,9.6,In Use
VH00083,B1083FD,CDE,2.0,2024,Semarang,9.4,In Use
VH00084,B1084GD,CDE,2.0,2018,Malang,9.2,In Use
VH00085,B1085HD,CDE,2.0,2019,Cikarang,10.0,In Use
VH00086,B1086ID,CDE,2.0,2020,Semarang,9.8,In Use
VH00087,B1087JD,CDE,2.0,2021,Malang,9.6,In Use
VH00088,B1088KD,CDE,2.0,2022,Cikarang,9.4,In Use
VH00089,B1089LD,CDE,2.0,2023,Semarang,9.2,In Use
VH00090,B1090MD,CDE,2.0,2024,Malang,10.0,In Use
VH00091,B1091ND,CDE,2.0,2018,Cikarang,9.8,In Use
VH00092,B1092OD,CDE,2.0,2019,Semarang,9.6,Maintenance
VH00093,B1093PD,CDE,2.0,2020,Malang,9.4,Maintenance
VH00094,B1094QD,CDE,2.0,2021,Cikarang,9.2,Maintenance
VH00095,B1095RD,CDE,2.0,2022,Semarang,10.0,Maintenance
VH00096,B1096SD,CDE,2.0,2023,Malang,9.8,Maintenance
VH00097,B1097TD,CDE,2.0,2024,Cikarang,9.6,Maintenance
VH00098,B1098UD,CDE,2.0,2018,Semarang,9.4,Inactive
VH00099,B1099VD,CDE,2.0,2019,Malang,9.2,Inactive
VH00100,B1100WD,CDE,2.0,2020,Cikarang,10.0,Ready
VH00101,B1101XD,CDE,2.0,2021,Semarang,9.8,Ready
VH00102,B1102YD,CDE,2.0,2022,Malang,9.6,Ready
VH00103,B1103ZD,CDE,2.0,2023,Cikarang,9.4,Ready
VH00104,B1104AE,CDE,2.0,2024,Semarang,9.2,Ready
VH00105,B1105BE,CDE,2.0,2018,Malang,10.0,Ready
VH00106,B1106CE,CDE,2.0,2019,Cikarang,9.8,Ready
VH00107,B1107DE,CDE,2.0,2020,Semarang,9.6,Ready
VH00108,B1108EE,CDE,2.0,2021,Malang,9.4,Ready
VH00109,B1109FE,CDE,2.0,2022,Cikarang,9.2,Ready
VH00110,B1110GE,CDE,2.0,2023,Semarang,10.0,Ready
VH00111,B1111HE,CDE,2.0,2024,Malang,9.8,Ready
VH00112,B1112IE,CDE,2.0,2018,Cikarang,9.6,Ready
VH00113,B1113JE,CDE,2.0,2019,Semarang,9.4,Ready
VH00114,B1114KE,CDE,2.0,2020,Malang,9.2,Ready
VH00115,B1115LE,CDE,2.0,2021,Cikarang,10.0,Ready
VH00116,B1116ME,CDE,2.0,2022,Semarang,9.8,Ready
VH00117,B1117NE,CDE,2.0,2023,Malang,9.6,Ready
VH00118,B1118OE,CDE,2.0,2024,Cikarang,9.4,Ready
VH00119,B1119PE,CDE,2.0,2018,Semarang,9.2,Ready
VH00120,B1120QE,CDE,2.0,2019,Malang,10.0,Ready
VH00121,B1121RE,CDE,2.0,2020,Cikarang,9.8,Ready
VH00122,B1122SE,CDE,2.0,2021,Semarang,9.6,Ready
VH00123,B1123TE,CDE,2.0,2022,Malang,9.4,Ready
VH00124,B1124UE,CDE,2.0,2023,Cikarang,9.2,Ready
VH00125,B1125VE,CDE,2.0,2024,Semarang,10.0,Ready
VH00126,B1126WE,CDE,2.0,2018,Malang,9.8,Ready
VH00127,B1127XE,CDE,2.0,2019,Cikarang,9.6,Ready
VH00128,B1128YE,CDE,2.0,2020,Semarang,9.4,Ready
VH00129,B1129ZE,CDE,2.0,2021,Malang,9.2,Ready
VH00130,B1130AF,CDE,2.0,2022,Cikarang,10.0,Ready
VH00131,B1131BF,CDE,2.0,2023,Semarang,9.8,Ready
VH00132,B1132CF,CDE,2.0,2024,Malang,9.6,Ready
VH00133,B1133DF,CDE,2.0,2018,Cikarang,9.4,Ready
VH00134,B1134EF,CDE,2.0,2019,Semarang,9.2,Ready
VH00135,B1135FF,CDE,2.0,2020,Malang,10.0,Ready
VH00136,B1136GF,CDE,2.0,2021,Cikarang,9.8,Ready
